CIRCUITS REPORT
=============================================================================================================================================== 
  CIRC    FROM    TO      Pik (MW)  Qik (MVAr)   Sik (MVA)   Pki (MW)  Qki (MVAr)    Ski (MVA)  Cap (MVA)    Loading    Ploss (MW)  Qloss (MVAr)
   94   5809     39      -51.50        0.00      -51.50       51.50       0.00        51.50   446.0000       0.1155        0.000        0.000
   95   1229     39       23.77        0.00       23.77      -23.77       0.00       -23.77   697.0000       0.0341        0.000        0.000
   96   2251     40       30.86        0.00       30.86      -30.86       0.00       -30.86   198.0000       0.1559        0.000        0.000
   97   4595     40        7.24        0.00        7.24       -7.24       0.00        -7.24   266.0000       0.0272        0.000        0.000
   98    430     41       16.20        0.00       16.20      -16.20       0.00       -16.20   331.0000       0.0489        0.000        0.000
   99   3953     41      -16.20        0.00      -16.20       16.20       0.00        16.20   268.0000       0.0604        0.000        0.000
  100   1484     42        0.00        0.00        0.00        0.00       0.00         0.00   1461.0000       0.0000        0.000        0.000
  101   2765     42        0.00        0.00        0.00       -0.00       0.00        -0.00   3668.0000       0.0000        0.000        0.000
  102   2724     43        3.20        0.00        3.20       -3.20       0.00        -3.20   4689.0000       0.0007        0.000        0.000
  103   3488     44       31.87        0.00       31.87      -31.87       0.00       -31.87   203.0000       0.1570        0.000        0.000
  104   4322     44      -18.57        0.00      -18.57       18.57       0.00        18.57   142.0000       0.1308        0.000        0.000
  105   5097     45        3.80        0.00        3.80       -3.80       0.00        -3.80   38027.0000       0.0001        0.000        0.000
  106   1085     46       17.90        0.00       17.90      -17.90       0.00       -17.90   207.0000       0.0865        0.000        0.000
  107   2194     46      -18.10        0.00      -18.10       18.10       0.00        18.10   305.0000       0.0593        0.000        0.000
  108   3305     46        0.20        0.00        0.20       -0.20       0.00        -0.20   210.0000       0.0010        0.000        0.000
  109   1085     47      -16.00        0.00      -16.00       16.00       0.00        16.00   239.0000       0.0669        0.000        0.000
  110   5363     48       40.40        0.00       40.40      -40.40       0.00       -40.40   573.0000       0.0705        0.000        0.000
  111   1223     49       -9.78        0.00       -9.78        9.78       0.00         9.78   152.0000       0.0643        0.000        0.000
  112   2345     49       19.58        0.00       19.58      -19.58       0.00       -19.58   152.0000       0.1288        0.000        0.000
  113    470     50      -59.20        0.00      -59.20       59.20       0.00        59.20   275.0000       0.2153        0.000        0.000
  114   1676     50      -20.80        0.00      -20.80       20.80       0.00        20.80   166.0000       0.1253        0.000        0.000
  115   3553     50      -14.66        0.00      -14.66       14.66       0.00        14.66   412.0000       0.0356        0.000        0.000
  116   4629     50      -23.74        0.00      -23.74       23.74       0.00        23.74   896.0000       0.0265        0.000        0.000
  117   3553     50      -14.84        0.00      -14.84       14.84       0.00        14.84   417.0000       0.0356        0.000        0.000
  118   4629     50      -23.84        0.00      -23.84       23.84       0.00        23.84   900.0000       0.0265        0.000        0.000
