ID_CIRC;FROM_BUS;TO_BUS;Pik_MW;Qik_MVAr;Sik_MVA;Pki_MW;Qki_MVAr;Ski_MVA;Cap_MVA;Loading;Ploss_MW;Qloss_MVAr
5569;4964;3358;14.4;0.0;14.4;-14.4;0.0;-14.4;286.0;0.0503;0.0;0.0
5570;3933;3359;13.262;0.0;13.262;-13.262;0.0;-13.262;1443.0;0.0092;0.0;0.0
5571;3933;3359;11.738;0.0;11.738;-11.738;0.0;-11.738;1278.0;0.0092;0.0;0.0
5572;5329;3361;-14.187;0.0;-14.187;14.187;0.0;14.187;108.0;0.1314;0.0;0.0
5573;4457;3364;102.976;0.0;102.976;-102.976;0.0;-102.976;472.0;0.2182;0.0;0.0
5574;3487;3365;-60.9;0.0;-60.9;60.9;0.0;60.9;4964.0;0.0123;0.0;0.0
5575;4668;3365;-14.6;0.0;-14.6;14.6;0.0;14.6;439.0;0.0333;0.0;0.0
5576;4668;3365;-14.6;0.0;-14.6;14.6;0.0;14.6;439.0;0.0333;0.0;0.0
5577;4581;3366;-0.0;0.0;-0.0;0.0;0.0;0.0;536.0;0.0;0.0;0.0
5578;4347;3367;36.675;0.0;36.675;-36.675;0.0;-36.675;440.0;0.0834;0.0;0.0
5579;4347;3367;36.675;0.0;36.675;-36.675;0.0;-36.675;440.0;0.0834;0.0;0.0
5580;4181;3370;14.316;0.0;14.316;-14.316;0.0;-14.316;326.0;0.0439;0.0;0.0
5581;4181;3370;14.274;0.0;14.274;-14.274;0.0;-14.274;325.0;0.0439;0.0;0.0
5582;3373;3372;1380.0;0.0;1380.0;-1380.0;0.0;-1380.0;2487.0;0.5549;0.0;0.0
5583;3374;3372;1388.7;0.0;1388.7;-1388.7;0.0;-1388.7;2487.0;0.5584;0.0;0.0
5584;5608;3375;-1.1;0.0;-1.1;1.1;0.0;1.1;52398.0;0.0;0.0;0.0
5585;5125;3376;0.0;0.0;0.0;-0.0;0.0;-0.0;757.0;0.0;0.0;0.0
5586;5226;3376;23.956;0.0;23.956;-23.956;0.0;-23.956;503.0;0.0476;0.0;0.0
