BUS;V_pu;Theta_deg;P_MW;Q_MVAr;PG_MW;QG_MVAr;PD_MW;QD_MVAr;Psh_MW;Qsh_MVAr
1576;1.0;-30.57;-37.9;0.0;0.0;0.0;37.9;0.0;0.0;0.0
1577;1.0;-40.88;-26.0;0.0;0.0;0.0;26.0;0.0;0.0;0.0
1578;1.0;-23.13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1579;1.0;-23.13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1580;1.0;-23.13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1581;1.0;-23.12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1582;1.0;-37.29;-21.3;0.0;0.0;0.0;21.3;0.0;0.0;0.0
1583;1.0;-36.9;-82.3;0.0;0.0;0.0;82.3;0.0;0.0;0.0
1584;1.0;-23.46;-39.0;0.0;0.0;0.0;39.0;0.0;0.0;0.0
1585;1.0;-20.82;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1586;1.0;-17.27;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1587;1.0;-27.48;-27.7;0.0;0.0;0.0;27.7;0.0;0.0;0.0
1588;1.0;-30.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1589;1.0;-27.82;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1590;1.0;-43.91;-27.0;0.0;0.0;0.0;27.0;0.0;0.0;0.0
1591;1.0;-39.1;-11.9;0.0;0.0;0.0;11.9;0.0;0.0;0.0
1592;1.0;-36.54;-25.9;0.0;0.0;0.0;25.9;0.0;0.0;0.0
1593;1.0;-9.49;-14.4;0.0;0.0;0.0;14.4;0.0;0.0;0.0
1594;1.0;-16.04;33.0;0.0;33.0;0.0;0.0;0.0;0.0;0.0
1595;1.0;-45.78;-25.9;0.0;0.0;0.0;25.9;0.0;0.0;0.0
1596;1.0;-29.01;-15.7;0.0;0.0;0.0;15.7;0.0;0.0;0.0
1597;1.0;-30.36;-41.6;0.0;0.0;0.0;41.6;0.0;0.0;0.0
1598;1.0;-30.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1599;1.0;-28.51;41.0;0.0;36.0;0.0;-5.0;0.0;0.0;0.0
1600;1.0;-26.08;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1601;1.0;-21.09;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1602;1.0;-43.56;-25.8;0.0;0.0;0.0;25.8;0.0;0.0;0.0
1603;1.0;-40.92;-133.4;0.0;0.0;0.0;133.4;0.0;0.0;0.0
1604;1.0;-40.89;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1605;1.0;-42.75;1.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0
1606;1.0;-36.04;9.0;0.0;0.0;0.0;-9.0;0.0;0.0;0.0
1607;1.0;-26.85;-20.6;0.0;0.0;0.0;20.6;0.0;0.0;0.0
1608;1.0;-24.87;-5.3;0.0;0.0;0.0;5.3;0.0;0.0;0.0
1609;1.0;-12.06;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1610;1.0;-30.02;-39.8;0.0;0.0;0.0;39.8;0.0;0.0;0.0
1611;1.0;-22.8;-24.7;0.0;0.0;0.0;24.7;0.0;0.0;0.0
1612;1.0;-29.46;-55.2;0.0;0.0;0.0;55.2;0.0;0.0;0.0
