BUSES REPORT
============================================================================================================================= 
   BUS    V (pu)     θ (º)     P (MW)     Q (MVAr)      PG (MW)    QG (MVAr)    PD (MW)   QD (MVAr)     Psh (MW)   Qsh (MVAr) 
  205    1.0000    -23.06        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
  206    1.0000    -31.61      -54.40        0.00        0.00        0.00       54.40        0.00        0.00        0.00
  207    1.0000    -27.72      -33.90        0.00        0.00        0.00       33.90        0.00        0.00        0.00
  208    1.0000    -35.10      -16.60        0.00        0.00        0.00       16.60        0.00        0.00        0.00
  209    1.0000    -27.40       -2.20        0.00        0.00        0.00        2.20        0.00        0.00        0.00
  210    1.0000    -25.05      -41.50        0.00        0.00        0.00       41.50        0.00        0.00        0.00
  211    1.0000    -24.86      -32.50        0.00        0.00        0.00       32.50        0.00        0.00        0.00
  212    1.0000    -24.83        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
  213    1.0000    -24.82        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
  214    1.0000    -43.33      -43.10        0.00        0.00        0.00       43.10        0.00        0.00        0.00
  215    1.0000    -41.83        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
  216    1.0000    -30.07      -21.10        0.00        0.00        0.00       21.10        0.00        0.00        0.00
  217    1.0000    -37.96      -31.10        0.00        0.00        0.00       31.10        0.00        0.00        0.00
  218    1.0000    -28.76       -3.30        0.00        0.00        0.00        3.30        0.00        0.00        0.00
  219    1.0000    -33.88      -11.10        0.00        0.00        0.00       11.10        0.00        0.00        0.00
  220    1.0000    -14.34      -14.80        0.00        0.00        0.00       14.80        0.00        0.00        0.00
  221    1.0000    -29.29      -13.00        0.00        0.00        0.00       13.00        0.00        0.00        0.00
  222    1.0000    -25.77        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
  223    1.0000    -27.06      -42.40        0.00        0.00        0.00       42.40        0.00        0.00        0.00
  224    1.0000    -17.30        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
  225    1.0000    -23.48      -76.80        0.00        0.00        0.00       76.80        0.00        0.00        0.00
  226    1.0000    -23.48      -77.80        0.00        0.00        0.00       77.80        0.00        0.00        0.00
  227    1.0000    -64.09       -5.00        0.00        0.00        0.00        5.00        0.00        0.00        0.00
  228    1.0000    -64.63      -10.90        0.00        0.00        0.00       10.90        0.00        0.00        0.00
  229    1.0000    -20.59      -12.00        0.00        0.00        0.00       12.00        0.00        0.00        0.00
  230    1.0000    -23.52        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
  231    1.0000    -35.30       -7.00        0.00        0.00        0.00        7.00        0.00        0.00        0.00
  232    1.0000    -21.77       -7.20        0.00        0.00        0.00        7.20        0.00        0.00        0.00
  233    1.0000    -26.98        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
  234    1.0000    -26.98      -24.70        0.00        0.00        0.00       24.70        0.00        0.00        0.00
  235    1.0000    -24.48      -17.70        0.00        0.00        0.00       17.70        0.00        0.00        0.00
  236    1.0000    -34.10      -28.60        0.00        0.00        0.00       28.60        0.00        0.00        0.00
  237    1.0000    -28.14      -43.70        0.00        0.00        0.00       43.70        0.00        0.00        0.00
  238    1.0000    -34.39       10.80        0.00       36.00        0.00       25.20        0.00        0.00        0.00
  239    1.0000    -62.87      -53.90        0.00        0.00        0.00       53.90        0.00        0.00        0.00
  240    1.0000    -26.82      -51.10        0.00        0.00        0.00       51.10        0.00        0.00        0.00
  241    1.0000    -34.94      -56.70        0.00        0.00        0.00       56.70        0.00        0.00        0.00
  242    1.0000    -31.24      -56.20        0.00        0.00        0.00       56.20        0.00        0.00        0.00
  243    1.0000    -28.64      -26.70        0.00        0.00        0.00       26.70        0.00        0.00        0.00
  244    1.0000    -28.66      -58.00        0.00        0.00        0.00       58.00        0.00        0.00        0.00
  245    1.0000    -30.37      -13.70        0.00        0.00        0.00       13.70        0.00        0.00        0.00
  246    1.0000    -21.88      -13.70        0.00        0.00        0.00       13.70        0.00        0.00        0.00
  247    1.0000    -19.84        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
  248    1.0000    -38.61      -33.40        0.00        0.00        0.00       33.40        0.00        0.00        0.00
  249    1.0000    -26.02      -26.10        0.00        0.00        0.00       26.10        0.00        0.00        0.00
  250    1.0000    -35.80      -27.40        0.00        0.00        0.00       27.40        0.00        0.00        0.00
  251    1.0000    -41.11      -10.60        0.00        0.00        0.00       10.60        0.00        0.00        0.00
  252    1.0000    -32.37       -9.60        0.00        0.00        0.00        9.60        0.00        0.00        0.00
  253    1.0000    -31.71      -54.10        0.00        0.00        0.00       54.10        0.00        0.00        0.00
  254    1.0000    -34.19      -20.00        0.00        0.00        0.00       20.00        0.00        0.00        0.00
  255    1.0000    -31.43       -9.50        0.00        0.00        0.00        9.50        0.00        0.00        0.00
  256    1.0000    -25.87       24.20        0.00       26.00        0.00        1.80        0.00        0.00        0.00
  257    1.0000    -26.59        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
  258    1.0000    -24.94        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
  259    1.0000    -31.34      -33.00        0.00        0.00        0.00       33.00        0.00        0.00        0.00
  260    1.0000    -30.06        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
  261    1.0000    -29.05        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
  262    1.0000    -24.23        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
  263    1.0000    -27.34        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
  264    1.0000    -21.82        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
  265    1.0000    -38.08        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
  266    1.0000    -36.74      -32.50        0.00        0.00        0.00       32.50        0.00        0.00        0.00
  267    1.0000    -39.38      -66.30        0.00        0.00        0.00       66.30        0.00        0.00        0.00
  268    1.0000    -28.14      -12.20        0.00        0.00        0.00       12.20        0.00        0.00        0.00
  269    1.0000    -34.92      -23.20        0.00        0.00        0.00       23.20        0.00        0.00        0.00
  270    1.0000    -21.61        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
  271    1.0000    -21.61        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
  272    1.0000    -25.93      -45.80        0.00        0.00        0.00       45.80        0.00        0.00        0.00
  273    1.0000    -22.66      -28.50        0.00        0.00        0.00       28.50        0.00        0.00        0.00
  274    1.0000    -33.91      -54.50        0.00        0.00        0.00       54.50        0.00        0.00        0.00
  275    1.0000    -35.72        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
  276    1.0000    -32.15        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
  277    1.0000    -37.43       -3.70        0.00        0.00        0.00        3.70        0.00        0.00        0.00
  278    1.0000    -35.76       -1.50        0.00        0.00        0.00        1.50        0.00        0.00        0.00
  279    1.0000    -38.42      -11.00        0.00        0.00        0.00       11.00        0.00        0.00        0.00
  280    1.0000    -41.22      -44.00        0.00        0.00        0.00       44.00        0.00        0.00        0.00
  281    1.0000    -27.80      -12.80        0.00        0.00        0.00       12.80        0.00        0.00        0.00
  282    1.0000    -21.88        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
  283    1.0000    -39.63      -12.10        0.00        0.00        0.00       12.10        0.00        0.00        0.00
  284    1.0000    -12.70      -16.80        0.00        0.00        0.00       16.80        0.00        0.00        0.00
  285    1.0000    -38.11        1.70        0.00        0.00        0.00       -1.70        0.00        0.00        0.00
  286    1.0000    -38.13      -32.20        0.00        0.00        0.00       32.20        0.00        0.00        0.00
  287    1.0000    -33.51      -35.70        0.00        0.00        0.00       35.70        0.00        0.00        0.00
  288    1.0000    -35.47      -36.80        0.00        0.00        0.00       36.80        0.00        0.00        0.00
  289    1.0000    -14.46      -43.60        0.00        0.00        0.00       43.60        0.00        0.00        0.00
  290    1.0000    -26.24       -7.30        0.00        0.00        0.00        7.30        0.00        0.00        0.00
  291    1.0000    -25.80      -15.80        0.00        0.00        0.00       15.80        0.00        0.00        0.00
  292    1.0000    -25.64       -1.00        0.00        0.00        0.00        1.00        0.00        0.00        0.00
  293    1.0000    -25.64      -45.40        0.00        0.00        0.00       45.40        0.00        0.00        0.00
  294    1.0000    -30.23        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
  295    1.0000    -29.17      -23.40        0.00        0.00        0.00       23.40        0.00        0.00        0.00
  296    1.0000    -30.22        5.10        0.00       12.00        0.00        6.90        0.00        0.00        0.00
  297    1.0000    -34.18       -2.00        0.00        0.00        0.00        2.00        0.00        0.00        0.00
  298    1.0000    -22.46      -13.90        0.00        0.00        0.00       13.90        0.00        0.00        0.00
  299    1.0000    -26.20        0.00        0.00        0.00        0.00        0.00        0.00        0.00        0.00
  300    1.0000    -25.25      -53.50        0.00        0.00        0.00       53.50        0.00        0.00        0.00
  301    1.0000    -27.58       -3.00        0.00        0.00        0.00        3.00        0.00        0.00        0.00
